Thứ tự,Tên công ty,Địa chỉ,Tỉnh,Loại hình,Điện thoại,Email,Mã số thuế,Năm thành lập,Thị trường,Chứng chỉ,Trạng thái,Website,,,,,,,,,,,,,
59,Việt Dũng - Công Ty TNHH Việt Dũng,"26 Tổ 23,Chùa Hà, Q. Cầu Giấy, ",Hà Nội,Khoáng Sản,(024) 38336263,dungchuaha@hn.vnn.vn,,,,,"Hơn 2 năm chưa xác minh được,26 Tổ 23,Chùa Hà, Q. Cầu Giấy, ,(024) 38336263                                ",https://www.yellowpages.vn/lgs/1313901/viet-dung-cong-ty-tnhh-viet-dung.html,,,,,,,,,,,,,
60,Vật Liệu Xây Dựng Đông Sơn - Công Ty TNHH Tài Nguyên Đông Sơn,"Số 24 Lô 6, Đường Trung Yên, P. Trung Hòa, Q. Cầu Giấy, ",Hà Nội,"Nhà sản xuất, Thương mại",0945 017 758,general@dongsonresources.com,108049427,2017,"Toàn quốc, Quốc tế",,"Đã xác minh: 15/11/2022  ,Số 24 Lô 6, Đường Trung Yên, P. Trung Hòa, Q. Cầu Giấy, ,0945 017 758                            ",http://dongsonresources.com,,,,,,,,,,,,,
61,Công ty TNHH Biotech Zeolitemin Hạ Môn,"Zone A, Số 666 Đường Yangguang, Quận Công Nghiệp Xinyang, Haicang, Hạ Môn, ",Phúc Kiến,Nhà sản xuất,(+86 592) 6808851,kingson@zeolitemin.com,,2018,"Việt Nam, Quốc tế","
HACCP, ISO 9001:2000","Đã xác minh: 25/5/2021   ,Zone A, Số 666 Đường Yangguang, Quận Công Nghiệp Xinyang, Haicang, Hạ Môn, ,(+86 592) 6808851                                 ",http://www.zeolitemin.com/,,,,,,,,,,,,,
62,T & T - Chi Nhánh Công Ty TNHH T & T,"60-62 Cách Mạng Tháng Tám, P. 6, Q. 3, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Thương mại",(028) 39305115,tthcm@yahoo.com,,,,,"Không cam kết về độ chính xác thông tin này,60-62 Cách Mạng Tháng Tám, P. 6, Q. 3, ,(028) 39305115                                ",http://www.ttgroup.com.vn,,,,,,,,,,,,,
63,Hóa Trường Giang - Cty Cổ Phần Xuất Nhập Khẩu Thương Mại Sản Xuất Khoáng Sản,"143/23/2T Phan Anh, P. Bình Trị Đông, Q. Bình Tân, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 39615640,,,,,,"Không cam kết về độ chính xác thông tin này,143/23/2T Phan Anh, P. Bình Trị Đông, Q. Bình Tân, ,(028) 39615640                                ",https://www.yellowpages.vn/lgs/1153722/hoa-truong-giang-cty-co-phan-xuat-nhap-khau-thuong-mai-san-xuat-khoang-san.html,,,,,,,,,,,,,
64,Xí Nghiệp Địa Chất & Khoáng Sản,"Trung Văn, H. Từ Liêm, ",Hà Nội,Khoáng Sản,(024) 35530480,,,,,,"Hơn 2 năm chưa xác minh được,Trung Văn, H. Từ Liêm, ,(024) 35530480                                ",https://www.yellowpages.vn/lgs/743130/xi-nghiep-dia-chat---khoang-san.html,,,,,,,,,,,,,
65,Hoa Sen - Công Ty Cổ Phần Hoa Sen,"50B Nam Kỳ Khởi Nghĩa, P. Thắng Tam, Tp. Vũng Tàu, ",Bà Rịa-Vũng Tàu,Khoáng Sản,(0254) 3525090,,,,,,"Hơn 2 năm chưa xác minh được,50B Nam Kỳ Khởi Nghĩa, P. Thắng Tam, Tp. Vũng Tàu, ,(0254) 3525090                                 ",https://www.yellowpages.vn/lgs/1136514/hoa-sen-cong-ty-co-phan-hoa-sen.html,,,,,,,,,,,,,
66,Công Ty Khai Thác Vận Tải Thủy Nội Địa,"T8 Quang Trung, Phủ Lý, ",Hà Nam,Dịch vụ,915668168,dnt252@gmail.com,,2012,Miền Bắc,,"Đã xác minh: 25/8/2015   ,T8 Quang Trung, Phủ Lý, ,0915668168                              ",https://www.yellowpages.vn/lgs/1187754441/cong-ty-khai-thac-van-tai-thuy-noi-dia.html,,,,,,,,,,,,,
67,Công Ty TNHH Mai Linh C,"Số 51 Ngõ 49 Triều Khúc, Thanh Xuân Nam, Thanh Xuân, ",Hà Nội,Thương mại,(024) 38548828,mailinhc2012@gmail.com,,,Toàn quốc,,"Đã xác minh: 5/8/2013    ,Số 51 Ngõ 49 Triều Khúc, Thanh Xuân Nam, Thanh Xuân, ,(024) 38548828                                ",https://www.yellowpages.vn/lgs/1303134/cong-ty-tnhh-mai-linh-c.html,,,,,,,,,,,,,
68,Công Ty TNHH MTV Thương Mại Trung Kiên,"Khu 4, CCN Ngô Quyền, Cẩm Thượng, TP. Hải Dương, ",Hải Dương,Nhà sản xuất,904127255,ctytrungkien72@gmail.com,800999422,2012,"Toàn quốc, Quốc tế",,"Đã xác minh: 15/7/2019   ,Khu 4, CCN Ngô Quyền, Cẩm Thượng, TP. Hải Dương, ,0904127255                              ",http://hoachattrungkien.com,,,,,,,,,,,,,
69,Công Ty Khoáng Sản Bình Định Việt Nam Malaysia,"160 Trần Hưng Đạo, Tp. Quy Nhơn, ",Bình Định,Khoáng Sản,(0256) 3824784,bimal@dng.vnn.vn,,,,,"Không cam kết về độ chính xác thông tin này,160 Trần Hưng Đạo, Tp. Quy Nhơn, ,(0256) 3824784                                 ",https://www.yellowpages.vn/lgs/690549/cong-ty-khoang-san-binh-dinh-viet-nam-malaysia.html,,,,,,,,,,,,,
70,Lực Quang Thắng - Công Ty Cổ Phần Xuất Nhập Khẩu Lực Quang Thắng,"1 Phố Nhà Hỏa, Ngõ 1, X. Nhân Chính, Q. Thanh Xuân, ",Hà Nội,Khoáng Sản,(024) 38583216,,,,,,"Không cam kết về độ chính xác thông tin này,1 Phố Nhà Hỏa, Ngõ 1, X. Nhân Chính, Q. Thanh Xuân, ,(024) 38583216                                ",https://www.yellowpages.vn/lgs/1320066/luc-quang-thang-cong-ty-co-phan-xuat-nhap-khau-luc-quang-thang.html,,,,,,,,,,,,,
71,Thành Nam - Công Ty Cổ Phần Khai Thác Chế Biến Khoáng Sản Thành Nam,"188 Nguyễn Hữu Cảnh, P. 9, Tp. Vũng Tàu, ",Bà Rịa-Vũng Tàu,Khoáng Sản,(0254) 3848424,,,,,,"Không cam kết về độ chính xác thông tin này,188 Nguyễn Hữu Cảnh, P. 9, Tp. Vũng Tàu, ,(0254) 3848424                                 ",https://www.yellowpages.vn/lgs/1175070/thanh-nam-cong-ty-co-phan-khai-thac-che-bien-khoang-san-thanh-nam.html,,,,,,,,,,,,,
72,Khoáng Sản Thanh Tâm - Công Ty TNHH Thanh Tâm,"Số 25, Đường Phan Đình Phùng, TP. Đông Hà, ",Quảng Trị,Nhà sản xuất,"(0233) 552957, 0983459999, 0903551551          ",thanhtamtitan@yahoo.com,3200141500,2001,"Toàn quốc, Quốc tế",,"Đảm bảo chính xác,Số 25, Đường Phan Đình Phùng, TP. Đông Hà, ,(0233) 552957, 0983459999, 0903551551          
",http://thanhtamtitan.com/,,,,,,,,,,,,,
73,Minh Tiến - Công Ty Cổ Phần Khoáng Sản Minh Tiến,"Tầng3, 99 Nguyễn Thị Minh Khai, P. Bến Thành, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 39919770,mitecorp@vnn.vn,,,,,"Hơn 2 năm chưa xác minh được,Tầng3, 99 Nguyễn Thị Minh Khai, P. Bến Thành, Q. 1, ,(028) 39919770                                ",https://www.yellowpages.vn/lgs/1010865/minh-tien-cong-ty-co-phan-khoang-san-minh-tien.html,,,,,,,,,,,,,
74,Xí Nghiệp Thăm Dò Khảo Sát Thiết Kế & Dịch Vụ Kỹ Thuật-Cty Than Nội Địa,"30B Đoàn Thị Điểm, Q. Đống Đa, ",Hà Nội,Khoáng Sản,(024) 38457360,,,,,,"Hơn 2 năm chưa xác minh được,30B Đoàn Thị Điểm, Q. Đống Đa, ,(024) 38457360                                ",https://www.yellowpages.vn/lgs/735783/xi-nghiep-tham-do-khao-sat-thiet-ke---dich-vu-ky-thuat-cty-than-noi-dia.html,,,,,,,,,,,,,
75,Công Ty TNHH Một Thành Viên Hòa Phát Thành,"24 Đường 18, KDT Mới Him Lam, P. Tân Hưng, Q.7 ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38932578,customer.service@hoaphatthanh.com.vn,,,,,"Đã xác minh: 22/8/2015   ,24 Đường 18, KDT Mới Him Lam, P. Tân Hưng, Q.7 ,(028) 38932578                                ",https://www.yellowpages.vn/lgs/1153668/cong-ty-tnhh-mot-thanh-vien-hoa-phat-thanh.html,,,,,,,,,,,,,
76,Công Ty CP Khoáng Sản Và Thương Mại Thiên Hà,"Số 12/3/2, Đường Ven Sông Lam, P. Bến Thủy, Tp, Vinh, ",Nghệ An,"Nhà sản xuất, Thương mại",(0238) 8604666,thtminerals@gmail.com,2901766964,2015,"Toàn quốc, Quốc tế",,"Đã xác minh: 20/7/2021   ,Số 12/3/2, Đường Ven Sông Lam, P. Bến Thủy, Tp, Vinh, ,(0238) 8604666                                 ",http://thtminerals.com,,,,,,,,,,,,,
77,Công Ty Cổ Phần Khoáng Sản Luyện Kim Hà Nội,"65 Linh Lang, Cống Vị, Ba Đình, ",Hà Nội,Khoáng Sản,(024) 37669371,khoangsanhn@gmail.com,,,,,"Không cam kết về độ chính xác thông tin này,65 Linh Lang, Cống Vị, Ba Đình, ,(024) 37669371                                ",http://www.khoangsanluyenkimhanoi.com.vn,,,,,,,,,,,,,
78,5 Sao - Công Ty Cổ Phần Tranh Đá Quý 5 Sao,"51B Quốc Tử Giám, P. Văn Chương, Q. Đống Đa, ",Hà Nội,Khoáng Sản,(024) 35535684,,,,,,"Không cam kết về độ chính xác thông tin này,51B Quốc Tử Giám, P. Văn Chương, Q. Đống Đa, ,(024) 35535684                                ",https://www.yellowpages.vn/lgs/1438944/5-sao-cong-ty-co-phan-tranh-da-quy-5-sao.html,,,,,,,,,,,,,
79,Công Ty Cổ Phần Khoáng Sản Việt Nam,"Phòng 605, 115 Lê Duẩn, Q. Hai Bà Trưng, ",Hà Nội,Khoáng Sản,(024) 39420675,vina-mine@fpt.vn,,,,,"Không cam kết về độ chính xác thông tin này,Phòng 605, 115 Lê Duẩn, Q. Hai Bà Trưng, ,(024) 39420675                                ",http://www.vina-minejsc.com,,,,,,,,,,,,,
80,Khoáng Sản Nam Khánh - Công Ty TNHH Sản Xuất Thương Mại Và Vật Tư Khoáng Sản Nam Khánh,"Số 9 Khu TT Liên Đoàn Intergeo, Xóm 1A, Thôn Hoàng 4, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, ",Hà Nội,Nhà sản xuất,"Hotline: 0913343428, 0982271111         ",talcnamkhanh@gmail.com,104611701,2010,Miền Bắc,,"Đảm bảo chính xác,Số 9 Khu TT Liên Đoàn Intergeo, Xóm 1A, Thôn Hoàng 4, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, ,Hotline: 0913343428, 0982271111         , Số 141, Phố Trần Cung, Phường Cổ Nhuế, Quận Bắc Từ Liêm, Hà Nội Đơn vị khai thác & sản xuất",http://talcnamkhanh.com,,,,,,,,,,,,,
81,Công Ty Pyrit,"Giáp Lai, P. Gia Thụy, H. Thanh Sơn, ",Phú Thọ,Khoáng Sản,(0210) 3873400,,,,,,"Không cam kết về độ chính xác thông tin này,Giáp Lai, P. Gia Thụy, H. Thanh Sơn, ,(0210) 3873400                                 ",https://www.yellowpages.vn/lgs/733188/cong-ty-pyrit.html,,,,,,,,,,,,,
82,Công Ty CP Công Nghiệp Khoáng Sản Bình Thuận,"65/20G Lý Long Tường, KP. Mỹ Tú 3, P. Tân Long, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 54123486,info@khoangsanbinhthuan.com.vn,,,,,"Hơn 2 năm chưa xác minh được,65/20G Lý Long Tường, KP. Mỹ Tú 3, P. Tân Long, Q. 7, ,(028) 54123486                                ",http://www.khoangsanbinhthuan.com.vn,,,,,,,,,,,,,
83,Công Ty Xây Dựng Giao Thông Phú Yên,"Số 6 Lê Lợi, P. 1, Tp. Tuy Hòa, ",Phú Yên,Khoáng Sản,(0257) 3823261,xdgtphuyen@gmail.com,,,,,"Hơn 2 năm chưa xác minh được,Số 6 Lê Lợi, P. 1, Tp. Tuy Hòa, ,(0257) 3823261                                 ",https://www.yellowpages.vn/lgs/713421/cong-ty-xay-dung-giao-thong-phu-yen.html,,,,,,,,,,,,,
84,Công Ty CP Kim Loại Mầu Thái Nguyên - VIMICO,"Tổ 6, P.Phú Xá,Tp. Thái Nguyên, ",Thái Nguyên,"Nhà sản xuất, Thương mại",(0208) 3847229,thainguyentmc@gmail.com,4600100003,2010,"Toàn quốc, Quốc tế",,"Đã xác minh: 6/8/2018    ,Tổ 6, P.Phú Xá,Tp. Thái Nguyên, ,(0208) 3847229                                 ",http://kimloaimau.com.vn,,,,,,,,,,,,,
85,Công Ty Cổ Phần Khoáng Sản Tây Giang Cao Bằng,"Ngũ Lão, Hòa An, ",Cao Bằng,Nhà sản xuất,(0206) 6253189,contact@tgm2.vn,4800167196,2008,Quốc tế,,"Đã xác minh: 25/8/2015   ,Ngũ Lão, Hòa An, ,(0206) 6253189                                 ",http://www.tgm2.vn,,,,,,,,,,,,,
86,Công Ty Cổ Phần Khoáng Sản Đắc Lắc,"37 Hai Bà Trưng, Tp. Buôn Ma Thuột, ",Đắk Lắk,Khoáng Sản,(0262) 3858149,khoangsandaklak@vnn.vn,,,,,"Không cam kết về độ chính xác thông tin này,37 Hai Bà Trưng, Tp. Buôn Ma Thuột, ,(0262) 3858149                                 ",https://www.yellowpages.vn/lgs/694215/cong-ty-co-phan-khoang-san-dac-lac.html,,,,,,,,,,,,,
87,Thủy Tiên - Công Ty TNHH Thương Mại Xây Dựng Dịch Vụ Thủy Tiên,"70/8A Lê Văn Thọ, P. 8, Q. Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 39965813,backcat@yahoo.com,,,,,"Không cam kết về độ chính xác thông tin này,70/8A Lê Văn Thọ, P. 8, Q. Gò Vấp, ,(028) 39965813                                ",https://www.yellowpages.vn/lgs/1025127/thuy-tien-cong-ty-tnhh-thuong-mai-xay-dung-dich-vu-thuy-tien.html,,,,,,,,,,,,,
88,Thanh Lâm - Công Ty TNHH Thanh Lâm,"115B ấp Nội Hóa, X. Bình An, H. Dĩ An, ",Bình Dương,Khoáng Sản,(0274) 3751507,,,,,,"Không cam kết về độ chính xác thông tin này,115B ấp Nội Hóa, X. Bình An, H. Dĩ An, ,(0274) 3751507                                 ",https://www.yellowpages.vn/lgs/3749733/thanh-lam-cong-ty-tnhh-thanh-lam.html,,,,,,,,,,,,,
89,Khoáng Sản Hiếu Nga - Công Ty TNHH Sản Xuất Thương Mại Hiếu Nga,"Khu 3, Tam Cường, Tam Nông, ",Phú Thọ,Nhà sản xuất,(0210) 6533999,hieungacompany@gmail.com,2600931445,201,Toàn quốc,,"Đảm bảo chính xác,Khu 3, Tam Cường, Tam Nông, ,(0210) 6533999                                 ,",http://botmica.com,,,,,,,,,,,,,
90,Thành Lộc Sơn - Công Ty TNHH Thành Lộc Sơn,"TT. Khâm Đức, H. Phước Sơn,Khối 6, ",Quảng Nam,Khoáng Sản,(0235) 3881711,,,,,,"Không cam kết về độ chính xác thông tin này,TT. Khâm Đức, H. Phước Sơn,Khối 6, ,(0235) 3881711                                 ",https://www.yellowpages.vn/lgs/1137978/thanh-loc-son-cong-ty-tnhh-thanh-loc-son.html,,,,,,,,,,,,,
91,Công Ty Cổ Phần Khoáng Sản Công Nghiệp Miền Bắc,"Văn Phòng Giao Dịch: Ô Số 11, Lô 1A.1.2, N02 KĐT Mỹ Đình 1, Mỹ Đình, Q. Nam Từ Liêm, ",Hà Nội,Khoáng Sản,"(024) 6295757, 0914 573 223,                  ",info@talcvietnam.com.vn,200644481,,,,"Không cam kết về độ chính xác thông tin này,Văn Phòng Giao Dịch: Ô Số 11, Lô 1A.1.2, N02 KĐT Mỹ Đình 1, Mỹ Đình, Q. Nam Từ Liêm, ,(024) 6295757, 0914 573 223,                  ,",http://talcvietnam.com.vn,,,,,,,,,,,,,
92,Kim Hoàng Long - Công Ty Cổ Phần Khoáng Sản Quốc Tế Kim Hoàng Long,"147 Nguyễn Thông, P. 9, Q. 3, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38435317,oanhlong6002@yahoo.com.vn,,,,,"Hơn 2 năm chưa xác minh được,147 Nguyễn Thông, P. 9, Q. 3, ,(028) 38435317                                ",https://www.yellowpages.vn/lgs/1079973/kim-hoang-long-cong-ty-co-phan-khoang-san-quoc-te-kim-hoang-long.html,,,,,,,,,,,,,
93,Molybden Việt Nam - Công Ty Cổ Phần Molybden Việt Nam,"738 P. Nhật Tân,Lạc Long Quân, Q. Tây Hồ, ",Hà Nội,Khoáng Sản,(024) 37198888,,,,,,"Hơn 2 năm chưa xác minh được,738 P. Nhật Tân,Lạc Long Quân, Q. Tây Hồ, ,(024) 37198888                                ",https://www.yellowpages.vn/lgs/1274043/molybden-viet-nam-cong-ty-co-phan-molybden-viet-nam.html,,,,,,,,,,,,,
94,Công Ty Cổ Phần Tư Vấn Khoáng Sản Quốc Tế S.O.N,"Phòng 306, Tòa Nhà 142, Lê Duẩn, Khâm Thiên, Q. Đống Đa, ",Hà Nội,Khoáng Sản,(024) 62697426,contact@vinaminerals.com,,,,,"Hơn 2 năm chưa xác minh được,Phòng 306, Tòa Nhà 142, Lê Duẩn, Khâm Thiên, Q. Đống Đa, ,(024) 62697426                                ",http://www.vinaminerals.com,,,,,,,,,,,,,
95,Sợi Thủy Tinh Hà Phát - Công Ty CP Hà Phát Việt Nam,"Số 2, Ngách 639/39, Hoàng Hoa Thám, P. Vĩnh Phúc, Q. Ba Đình, ",Hà Nội,"Nhà sản xuất, Thương mại","0972 687 669, 0988 808 926              ",cphaphatvn@gmail.com,107806875,207,Toàn quốc,,"Đã xác minh: 2/11/2022   ,Số 2, Ngách 639/39, Hoàng Hoa Thám, P. Vĩnh Phúc, Q. Ba Đình, ,0972 687 669, 0988 808 926              ,:",http://www.haphatvn.net,,,,,,,,,,,,,
96,Hội Nhập - Công Ty Cổ Phần Đầu Tư Tài Chính Xây Dựng Hội Nhập,"82 Nguyễn Hoàng, Q. Hải Châu, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3690015,Intergrationdn@yahoo.com,,,,,"Không cam kết về độ chính xác thông tin này,82 Nguyễn Hoàng, Q. Hải Châu, ,(0236) 3690015                                 ",https://www.yellowpages.vn/lgs/3720717/hoi-nhap-cong-ty-co-phan-dau-tu-tai-chinh-xay-dung-hoi-nhap.html,,,,,,,,,,,,,
97,Thành Tâm - Công Ty Cổ Phần Thành Tâm,"Thôn Khánh Thọ,X. Tam Thái, H. Phú Ninh, ",Quảng Nam,Khoáng Sản,(0235) 6272792,,,,,,"Không cam kết về độ chính xác thông tin này,Thôn Khánh Thọ,X. Tam Thái, H. Phú Ninh, ,(0235) 6272792                                 ",https://www.yellowpages.vn/lgs/1137321/thanh-tam-cong-ty-co-phan-thanh-tam.html,,,,,,,,,,,,,
98,Thuận Phú-Bình Định - Công Ty TNHH Khoáng Sản Thuận Phú-Bình Định,"43 Lê Quý Đôn, Tp. Quy Nhơn, ",Bình Định,Khoáng Sản,(0256) 3818258,,,,,,"Không cam kết về độ chính xác thông tin này,43 Lê Quý Đôn, Tp. Quy Nhơn, ,(0256) 3818258                                 ",https://www.yellowpages.vn/lgs/1111971/thuan-phu-binh-dinh-cong-ty-tnhh-khoang-san-thuan-phu-binh-dinh.html,,,,,,,,,,,,,
99,Khoáng Sản Nguyễn Đức - Doanh Nghiệp Tư Nhân Nguyễn Đức,"Tổ 14, P. Trưng Vương, TP. Thái Nguyên, ",Thái Nguyên,"Nhà sản xuất, Thương mại",Hotline:  0368 888 999,nguyenduc.dntn@gmail.com,4600337122,2003,Toàn quốc,,"Đảm bảo chính xác,Tổ 14, P. Trưng Vương, TP. Thái Nguyên, ,Hotline:  0368 888 999                  ,",http://nguyenduc.bizz.vn,,,,,,,,,,,,,
100,Khoáng Sản Việt Nam - Công Ty CP Đầu Tư Xuất Nhập Khẩu Và Khai Thác Khoáng Sản Việt Nam,"Khu Công Nghiệp Kiện Khê, Huyện Thanh Liêm, ",Hà Nam,Nhà sản xuất,"0947.395.234, 0947.595.234              ",sales@khoangsanvietnam.com.vn,106200390,2013,Toàn quốc,,"Đảm bảo chính xác,Khu Công Nghiệp Kiện Khê, Huyện Thanh Liêm, ,0947.395.234, 0947.595.234              ,",http://khoangsanvietnam.com.vn,,,,,,,,,,,,,
101,Vượng Phúc - Công Ty Cổ Phần Khoáng Sản Vượng Phúc,"30B Đoàn Thị Điểm, P. Quốc Tử Giám, Q. Đống Đa, ",Hà Nội,Khoáng Sản,(024) 22429042,vuongphuc@fpt.vn,,,,,"Không cam kết về độ chính xác thông tin này,30B Đoàn Thị Điểm, P. Quốc Tử Giám, Q. Đống Đa, ,(024) 22429042                                ",https://www.yellowpages.vn/lgs/1274247/vuong-phuc-cong-ty-co-phan-khoang-san-vuong-phuc.html,,,,,,,,,,,,,
102,Tejing (Việt Nam) Tungsten - Công Ty TNHH Tejing (Việt Nam) Tungsten,"Khu Công Nghiệp Linh Trung 3, Lô 110,H. Trảng Bàng, ",Tây Ninh,Khoáng Sản,(0276) 3898660,info@apresource.net,,,,,"Không cam kết về độ chính xác thông tin này,Khu Công Nghiệp Linh Trung 3, Lô 110,H. Trảng Bàng, ,(0276) 3898660                                 ",http://www.apresource.net,,,,,,,,,,,,,
103,Công Ty Cổ Phần Xây Dựng & Khai Thác Than Thái Nguyên,"Km8 X. Sơn Cẩm,Quốc Lộ 3, H. Phú Lương, ",Thái Nguyên,Khoáng Sản,(0208) 3744581,,,,,,"Không cam kết về độ chính xác thông tin này,Km8 X. Sơn Cẩm,Quốc Lộ 3, H. Phú Lương, ,(0208) 3744581                                 ",https://www.yellowpages.vn/lgs/718356/cong-ty-co-phan-xay-dung---khai-thac-than-thai-nguyen.html,,,,,,,,,,,,,
104,Công Ty CP Khai Khoáng Và Cơ Khí Hữu Nghị Vĩnh Sinh,"KCC Xi Măng Hữu Nghị, KCN Thụy Vân, Tp. Việt Trì, ",Phú Thọ,Thương mại và dịch vụ,(0210) 2220350,huunghivinhsinh@gmail.com,,2009,"Toàn quốc, Quốc tế",,"Không cam kết về độ chính xác thông tin này,KCC Xi Măng Hữu Nghị, KCN Thụy Vân, Tp. Việt Trì, ,(0210) 2220350                                 ",https://www.yellowpages.vn/lgs/1187736351/cong-ty-cp-khai-khoang-va-co-khi-huu-nghi-vinh-sinh.html,,,,,,,,,,,,,
105,Công Ty Phát Triển Khoáng Sản 4,"Lê Viết Thuận, X. Hưng Lộc, Tp. Vinh, ",Nghệ An,Khoáng Sản,(0238) 3858665,,,,,,"Hơn 2 năm chưa xác minh được,Lê Viết Thuận, X. Hưng Lộc, Tp. Vinh, ,(0238) 3858665                                 ",https://www.yellowpages.vn/lgs/730098/cong-ty-phat-trien-khoang-san-4.html,,,,,,,,,,,,,
106,Công Ty TNHH Hội Tụ Quốc Tế,"B23 Trung Hòa, X. Nhân Chính, Q. Thanh Xuân, ",Hà Nội,Khoáng Sản,(024) 35569948,info@afflux.com.vn,,,,,"Hơn 2 năm chưa xác minh được,B23 Trung Hòa, X. Nhân Chính, Q. Thanh Xuân, ,(024) 35569948                                ",http://www.afflux.com.vn,,,,,,,,,,,,,
107,Hương Hải - Công Ty TNHH Hương Hải,"1 Vườn Đào, H. Bãi Cháy, ",Quảng Ninh,Khoáng Sản,(0203) 3847614,,,,,,"Hơn 2 năm chưa xác minh được,1 Vườn Đào, H. Bãi Cháy, ,(0203) 3847614                                 ",http://www.halongdiscover.com,,,,,,,,,,,,,
108,Hà Nam - Công Ty Cổ Phần Khoáng Sản Hà Nam,"Tổ 14,Lương Khánh Thiện, TX. Phủ Lý, ",Hà Nam,Khoáng Sản,(0226) 3826332,,,,,,"Hơn 2 năm chưa xác minh được,Tổ 14,Lương Khánh Thiện, TX. Phủ Lý, ,(0226) 3826332                                 ",https://www.yellowpages.vn/lgs/1311288/ha-nam-cong-ty-co-phan-khoang-san-ha-nam.html,,,,,,,,,,,,,
109,VPDD Công Ty TNHH Công Nghiệp Nặng Thiều Thụy Quảng Đông,"Km8, Đường Bắc Thăng Long Nội Bài, Thị Trấn Quang Minh, H. Mê Linh, ",Hà Nội,Khoáng Sản,(024) 66516466,crusher@thieuthuy.com,,2008,Toàn quốc,,"Đã xác minh: 4/3/2014    ,Km8, Đường Bắc Thăng Long Nội Bài, Thị Trấn Quang Minh, H. Mê Linh, ,(024) 66516466                                ",http://www.thieuthuy.com,,,,,,,,,,,,,
110,Công ty TNHH Thương Mại Jufuyuan Hà Bắc,"2-2-707 Đường Bắc Shengli Caifutianxia, Thạch Gia Trang, ",Hà Bắc,Nhà sản xuất,(+86 311) 66516572,info@jufuyuan-s.com,,,Quốc tế,,"Đã xác minh: 8/6/2021    ,2-2-707 Đường Bắc Shengli Caifutianxia, Thạch Gia Trang, ,(+86 311) 66516572                                ",http://www.jufuyuan-s.com/,,,,,,,,,,,,,
111,Việt Dũng - Công Ty Cổ Phần Đầu Khoáng sản Việt Dũng,"26 Tổ 23,Chùa Hà, Q. Cầu Giấy, ",Hà Nội,Khoáng Sản,(024) 38336263,,,,,,"Không cam kết về độ chính xác thông tin này,26 Tổ 23,Chùa Hà, Q. Cầu Giấy, ,(024) 38336263                                ",https://www.yellowpages.vn/lgs/1274244/viet-dung-cong-ty-co-phan-dau-khoang-san-viet-dung.html,,,,,,,,,,,,,
112,Công Ty Phát Triển Khoáng Sản 3,"X. Tản Lĩnh, H. Ba Vì, ",Hà Nội,Khoáng Sản,(024) 3881033,,,,,,"Không cam kết về độ chính xác thông tin này,X. Tản Lĩnh, H. Ba Vì, ,(024) 3881033                                 ",https://www.yellowpages.vn/lgs/730095/cong-ty-phat-trien-khoang-san-3.html,,,,,,,,,,,,,
113,Khoáng Sản Thiên Sơn - Công Ty CP Xây Dựng Và Khoáng Sản Thiên Sơn,"Thôn Bút Sơn, X. Thanh Sơn, H. Kim Bảng, ",Hà Nam,Nhà sản xuất,"0918 602 186, 0973 571 886, 0983 303 161",baoly87@gmail.com,700182411,1999,"Toàn quốc, Xuất khẩu",,"Đảm bảo chính xác,Thôn Bút Sơn, X. Thanh Sơn, H. Kim Bảng, ,0918 602 186, 0973 571 886, 0983 303 161, CCN Thi Sơn, H. Kim Bảng, Hà Nam,",http://nguyenlieubotda.com.vn,,,,,,,,,,,,,
114,Kim Lợi - Công Ty TNHH Một Thành Viên Kim Lợi,"TT. Khâm Đức, H. Phước Sơn,Khối 6, ",Quảng Nam,Khoáng Sản,(0235) 01682184798,,,,,,"Không cam kết về độ chính xác thông tin này,TT. Khâm Đức, H. Phước Sơn,Khối 6, ,(0235) 01682184798                             ",https://www.yellowpages.vn/lgs/1137879/kim-loi-cong-ty-tnhh-mot-thanh-vien-kim-loi.html,,,,,,,,,,,,,
115,Công Ty CP Khoáng Sản Phương Nam,"106 Văn Cao, Q. Ngô Quyền, ",Tp. Hải Phòng,"Nhà sản xuất, Thương mại",944668868,trungvu68@gmail.com,201149916,2011,Toàn quốc,,"Không cam kết về độ chính xác thông tin này,106 Văn Cao, Q. Ngô Quyền, ,0944668868                              ",http://khoangsanphuongnam.com,,,,,,,,,,,,,
